"","homocigoto","tipo_variante","cuantos_homo_tipo","gen","cuantos_homo_tipo_gen","conf","soporte_homo_tipo"
"253",0,"nonsynonymous SNV",146716,"ALG2",12,8.17906704108618e-05,0.182510281410861
"254",0,"nonsynonymous SNV",146716,"ALG3",2,1.36317784018103e-05,0.182510281410861
"255",0,"nonsynonymous SNV",146716,"ALG6",2,1.36317784018103e-05,0.182510281410861
"256",0,"nonsynonymous SNV",146716,"ALK",149,0.00101556749093487,0.182510281410861
"257",0,"nonsynonymous SNV",146716,"ALMS1",841,0.00573216281796123,0.182510281410861
"258",0,"nonsynonymous SNV",146716,"ALOX12",74,0.000504375800866981,0.182510281410861
"259",0,"nonsynonymous SNV",146716,"ALOX12B",9,6.13430028081463e-05,0.182510281410861
"260",0,"nonsynonymous SNV",146716,"ALOX15",53,0.000361242127647973,0.182510281410861
"261",0,"nonsynonymous SNV",146716,"ALOX5",1,6.81588920090515e-06,0.182510281410861
"262",0,"nonsynonymous SNV",146716,"ALOX5AP",1,6.81588920090515e-06,0.182510281410861
"263",0,"nonsynonymous SNV",146716,"ALOXE3",19,0.000129501894817198,0.182510281410861
"264",0,"nonsynonymous SNV",146716,"ALPL",1,6.81588920090515e-06,0.182510281410861
"265",0,"nonsynonymous SNV",146716,"ALS2",16,0.000109054227214482,0.182510281410861
"266",0,"nonsynonymous SNV",146716,"ALS2CL",87,0.000592982360478748,0.182510281410861
"267",0,"nonsynonymous SNV",146716,"ALX1",3,2.04476676027154e-05,0.182510281410861
"268",0,"nonsynonymous SNV",146716,"ALX4",37,0.000252187900433491,0.182510281410861
"269",0,"nonsynonymous SNV",146716,"AMACR",170,0.00115870116415388,0.182510281410861
"270",0,"nonsynonymous SNV",146716,"AMER1",9,6.13430028081463e-05,0.182510281410861
"271",0,"nonsynonymous SNV",146716,"AMH",43,0.000293083235638921,0.182510281410861
"272",0,"nonsynonymous SNV",146716,"AMN",1,6.81588920090515e-06,0.182510281410861
"273",0,"nonsynonymous SNV",146716,"AMPD1",3,2.04476676027154e-05,0.182510281410861
"274",0,"nonsynonymous SNV",146716,"AMPD3",14,9.54224488126721e-05,0.182510281410861
"275",0,"nonsynonymous SNV",146716,"AMT",2,1.36317784018103e-05,0.182510281410861
"276",0,"nonsynonymous SNV",146716,"ANAPC1",4,2.72635568036206e-05,0.182510281410861
"277",0,"nonsynonymous SNV",146716,"ANGPT1",5,3.40794460045257e-05,0.182510281410861
"278",0,"nonsynonymous SNV",146716,"ANGPTL3",1,6.81588920090515e-06,0.182510281410861
"279",0,"nonsynonymous SNV",146716,"ANGPTL4",9,6.13430028081463e-05,0.182510281410861
"280",0,"nonsynonymous SNV",146716,"ANGPTL5",5,3.40794460045257e-05,0.182510281410861
"281",0,"nonsynonymous SNV",146716,"ANK1",20,0.000136317784018103,0.182510281410861
"282",0,"nonsynonymous SNV",146716,"ANK2",90,0.000613430028081463,0.182510281410861
"283",0,"nonsynonymous SNV",146716,"ANK3",188,0.00128138716977017,0.182510281410861
"284",0,"nonsynonymous SNV",146716,"ANKK1",351,0.00239237710951771,0.182510281410861
"285",0,"nonsynonymous SNV",146716,"ANKRD11",134,0.00091332915292129,0.182510281410861
